Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-05-18 06:43 (+01),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-01-09 13:54 (+01),521,145,42%,89,18.71,18.71,747,,,
2021-05-18 22:11 (BST),On Demand,Aditi Shah,10,Meditation,Breathwork,10 min Breathwork,2021-05-18 15:00 (BST),,,,,,,,,,
2021-05-19 22:12 (BST),On Demand,Anna Greenberg,10,Meditation,Emotions,10 min Patience Meditation,2021-05-17 16:08 (BST),,,,,,,,,,
2021-05-20 07:08 (+01),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2020-08-12 12:52 (+01),243,135,40%,89,18.18,9.09,349,,,
2021-05-20 21:58 (BST),On Demand,Anna Greenberg,10,Meditation,Emotions,10 min Courage Meditation,2021-05-18 23:36 (BST),,,,,,,,,,
2021-05-21 06:33 (+01),On Demand,Olivia Amato,30,Cycling,Power Zone,30 min Power Zone Ride,2020-02-24 17:19 (+01),283,157,41%,92,19.05,9.53,405,,,
2021-05-21 22:14 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2021-05-21 15:00 (BST),,,,,,,,,,
2021-05-22 22:13 (BST),On Demand,Aditi Shah,10,Meditation,Relax & Sleep,10 min Calming Meditation,2021-05-20 23:35 (BST),,,,,,,,,,
2021-05-23 22:04 (BST),On Demand,Ross Rayburn,10,Meditation,Mindfulness,10 min Breathing Meditation,2021-05-22 15:09 (BST),,,,,,,,,,
2021-05-24 06:43 (+01),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2021-05-08 12:22 (+01),584,162,43%,91,19.46,19.46,837,,,
2021-05-24 21:59 (BST),On Demand,Aditi Shah,10,Meditation,Mindfulness,10 min APIHM Meditation,2021-05-24 15:00 (BST),,,,,,,,,,
2021-05-25 22:12 (BST),On Demand,Aditi Shah,10,Meditation,Audio Only,10 min Patience Meditation,2021-05-25 16:00 (BST),,,,,,,,,,
2021-05-26 07:06 (+01),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-05-22 12:24 (+01),463,128,40%,89,17.86,17.87,663,,,
2021-05-27 21:47 (BST),On Demand,Ross Rayburn,10,Meditation,Emotions,10 min Happiness Meditation,2021-05-27 13:37 (BST),,,,,,,,,,
2021-05-28 07:01 (+01),On Demand,Olivia Amato,30,Cycling,Intervals,30 min Tabata Ride,2021-05-24 10:54 (+01),291,161,45%,83,18.66,9.33,416,,,
2021-05-30 22:18 (BST),On Demand,Aditi Shah,10,Meditation,Emotions,10 min Courage Meditation,2021-05-27 23:37 (BST),,,,,,,,,,
2021-05-31 22:05 (BST),On Demand,Anna Greenberg,10,Meditation,Relax & Sleep,10 min Calming Meditation,2021-05-25 23:38 (BST),,,,,,,,,,
2021-06-01 05:39 (+01),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2021-03-27 12:52 (+01),562,156,43%,87,19.01,19.01,805,,,
2021-06-01 21:42 (BST),On Demand,Ross Rayburn,10,Meditation,Audio Only,10 min Courage Meditation,2021-05-21 16:00 (BST),,,,,,,,,,
2021-06-03 22:16 (BST),On Demand,Kristin McGee,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2021-06-03 15:00 (BST),,,,,,,,,,
2021-06-04 05:46 (+01),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2020-12-05 13:51 (+01),506,141,41%,87,18.44,18.44,725,,,
2021-06-05 08:29 (+01),On Demand,Hannah Frankson,30,Cycling,Intervals,30 min Tabata Ride,2021-05-21 13:55 (+01),298,166,46%,80,18.70,9.35,427,,,
2021-06-06 22:10 (BST),On Demand,Ross Rayburn,10,Meditation,Breathwork,10 min Breathwork,2021-06-03 13:37 (BST),,,,,,,,,,
2021-06-07 05:53 (+01),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2021-06-05 12:24 (+01),555,154,43%,87,19.00,19.00,796,,,
2021-06-07 22:07 (BST),On Demand,Ross Rayburn,10,Meditation,Emotions,10 min Meditation for Healing,2021-06-07 15:00 (BST),,,,,,,,,,
2021-06-10 05:46 (+01),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-04-24 12:23 (+01),513,143,42%,86,18.52,18.53,735,,,
2021-06-10 22:21 (BST),On Demand,Ross Rayburn,15,Meditation,Audio Only,15 min Sleep Meditation,2021-06-08 16:00 (BST),,,,,,,,,,
2021-06-11 05:48 (+01),On Demand,Olivia Amato,30,Cycling,Intervals,30 min Tabata Ride,2021-06-07 10:51 (+01),287,159,50%,70,18.18,9.09,411,,,
2021-06-12 22:12 (BST),On Demand,Anna Greenberg,10,Meditation,Zen in Ten,Zen in Ten,2021-06-09 13:37 (BST),,,,,,,,,,
2021-06-14 05:50 (+01),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-05-22 12:24 (+01),440,122,40%,84,17.44,17.44,630,,,
2021-06-15 05:49 (+01),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2021-05-08 12:22 (+01),589,163,43%,91,19.53,19.54,843,,,
2021-06-18 05:45 (+01),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min APIHM Power Zone Endurance Ride,2021-05-26 10:54 (+01),247,137,41%,87,18.15,9.08,353,,,
2021-06-21 23:01 (BST),On Demand,Ross Rayburn,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2021-06-14 15:00 (BST),,,,,,,,,,
2021-06-22 05:44 (+01),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-06-16 10:53 (+01),390,144,41%,90,18.69,14.01,559,,,
2021-06-23 10:08 (+01),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2021-06-18 21:54 (+01),261,145,40%,92,18.66,9.34,373,,,
2021-06-24 09:21 (+01),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Ride,2020-10-07 10:48 (+01),286,159,42%,90,19.26,9.63,410,,,
2021-06-25 10:43 (+01),On Demand,Sam Yo,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-06-23 07:25 (+01),273,152,48%,76,18.62,9.31,391,,,
2021-06-29 09:49 (+01),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-06-02 10:53 (+01),389,144,41%,90,18.60,13.95,557,,,
2021-06-30 09:34 (+01),On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,2019-03-22 19:18 (+01),115,128,38%,95,17.57,4.39,165,,,
2021-06-30 09:56 (+01),On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,2019-05-10 19:58 (+01),250,208,49%,88,21.69,7.23,358,,,
2021-07-02 08:16 (+01),On Demand,Olivia Amato,15,Cycling,Low Impact,15 min Low Impact Ride,2021-06-27 16:45 (+01),105,117,38%,87,17.05,4.27,151,,,
2021-07-04 08:55 (+01),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Ride,2021-05-06 10:53 (+01),294,163,43%,88,19.27,9.64,422,,,
2021-07-06 10:58 (+01),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2021-05-19 10:52 (+01),269,150,42%,90,18.94,9.47,386,,,
2021-07-07 09:42 (+01),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,2021-06-09 10:53 (+01),437,162,43%,89,19.54,14.66,627,,,
2021-07-09 10:14 (+01),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-04-21 10:53 (+01),409,152,42%,89,19.02,14.26,586,,,
